symbol,label,description,unit,input_type,default_value,minimum,maximum,formula,calculation_order,step
gr_co,Created On,,datetime,na,,,,,,1
gr_cb,Created By,,number,na,,,,,,1
gr_cho,Checked On,,datetime,na,,,,,,1
gr_chb,Checked By,,number,na,,,,,,1
gr_ao,Approved On,,datetime,na,,,,,,1
gr_ab,Approved By,,number,na,,,,,,1
gr_tsm,Total Sample Mass,,grams,in,,,,,,
gr_tp19,Total Passing 19mm Sieve,,grams,in,,,,,,
gr_rfp19,Riffled Fraction Passing 19mm Sieve,,grams,in,,,,,,
gr_rf,Reduction factor,,factor,calc,1,1,10,gr_rfp19/gr_tp19,101,
gr_dm,Dry Mass,sample mass,grams,in,,,,,,
gr_is,Initial Sieve,< 0.425 mm,grams,in,,,,,,
gr_wa,Washed,< 0.425 mm,grams,in,,,,,,
gr_fi,Final,< 0.425 mm,grams,in,,,,,,
gr_mr1,Mass Retained 1,105 mm,grams,in,,,,,,
gr_mr2,Mass Retained 2,75 mm,grams,in,,,,,,
gr_mr3,Mass Retained 3,63 mm,grams,in,,,,,,
gr_mr4,Mass Retained 4,53 mm,grams,in,,,,,,
gr_mr5,Mass Retained 5,37.5 mm,grams,in,,,,,,
gr_mr6,Mass Retained 6,26.5 mm,grams,in,,,,,,
gr_mr7,Mass Retained 7,19 mm,grams,in,,,,,,
gr_mr1r,Mass Retained 1 Reduced,105 mm,grams,calc,,,,gr_mr1*gr_rf,102,
gr_mr2r,Mass Retained 2  Reduced,75 mm,grams,calc,,,,gr_mr2*gr_rf,103,
gr_mr3r,Mass Retained 3  Reduced,63 mm,grams,calc,,,,gr_mr3*gr_rf,104,
gr_mr4r,Mass Retained 4 Reduced,53 mm,grams,calc,,,,gr_mr4*gr_rf,105,
gr_mr5r,Mass Retained 5 Reduced,37.5 mm,grams,calc,,,,gr_mr5*gr_rf,106,
gr_mr6r,Mass Retained 6  Reduced,26.5 mm,grams,calc,,,,gr_mr6*gr_rf,107,
gr_mr7r,Mass Retained 7  Reduced,19 mm,grams,calc,,,,gr_mr7*gr_rf,108,
gr_mr8,Mass Retained 8,13.2 mm,grams,in,,,,,,
gr_mr9,Mass Retained 9,4.75 mm,grams,in,,,,,,
gr_mr10,Mass Retained 10,2.0 mm,grams,in,,,,,,
gr_mr11,Mass Retained 11,0.425 mm,grams,in,,,,,,
gr_mp_tot,Mass Passing Total,< 0.425 mm,grams,calc,,,,gr_is+gr_wa+gr_fi,109,
gr_dm_calc,Dry Mass Calculated,sample mass,grams,calc,,,,gr_mr1r+gr_mr2r+gr_mr3r+gr_mr4r+gr_mr5r+gr_mr6r+gr_mr7r+gr_mr8+gr_mr9+gr_m10+gr_m11+gr_mp_tot,110,
gr_pr1,Percentage Retained 1,105 mm,%,calc,,,,(gr_mr1r/gr_dm_calc)*100,111,
gr_pr2,Percentage Retained 2,75 mm,%,calc,,,,(gr_mr2r/gr_dm_calc)*100,112,
gr_pr3,Percentage Retained 3,63 mm,%,calc,,,,(gr_mr3r/gr_dm_calc)*100,113,
gr_pr4,Percentage Retained 4,53 mm,%,calc,,,,(gr_mr4r/gr_dm_calc)*100,114,
gr_pr5,Percentage Retained 5,37.5 mm,%,calc,,,,(gr_mr5r/gr_dm_calc)*100,115,
gr_pr6,Percentage Retained 6,26.5 mm,%,calc,,,,(gr_mr6r/gr_dm_calc)*100,116,
gr_pr7,Percentage Retained 7,19 mm,%,calc,,,,(gr_mr7r/gr_dm_calc)*100,117,
gr_pr8,Percentage Retained 8,13.2 mm,%,calc,,,,(gr_mr8/gr_dm_calc)*100,118,
gr_pr9,Percentage Retained 9,4.75 mm,%,calc,,,,(gr_mr9/gr_dm_calc)*100,119,
gr_pr10,Percentage Retained 10,2.0 mm,%,calc,,,,(gr_mr10/gr_dm_calc)*100,120,
